gene,hr,p,fdr
IGFBP3,1.4695173965302515,0.005024442813374885,1.004888562674977
MUC4,1.2936629001155224,0.0053764044201461605,0.537640442014616
CAMK2N1,1.3879408044433128,0.005941698882199869,0.39611325881332465
GPRC5A,1.4177454543814232,0.00767123906425652,0.383561953212826
UCA1,1.302630336418348,0.011945908128705213,0.47783632514820856
CLDN9,1.356229442177875,0.012489054481004083,0.41630181603346944
MAL,1.324694346139917,0.013888824094384291,0.39682354555383687
MALL,1.31273333722402,0.014606415725881202,0.36516039314703
AL161431.1,1.2783236751371945,0.01698778524713976,0.3775063388253279
S100A8,1.1936570376436038,0.017091887894392557,0.34183775788785115
IGF2-1,1.2025060745395806,0.021514143488631152,0.3911662452478391
TSPAN1,1.3564356196997247,0.02579538179527504,0.42992302992125064
CST6,1.2995111468148834,0.026843499909585133,0.4129769216859251
PTN,0.8111675498250243,0.027472873705193274,0.3924696243599039
AGR3,1.3140734588502656,0.02804901383051671,0.3739868510735561
UBB,0.8487899493077865,0.029138449764721616,0.3642306220590202
RIC3,1.3232128602663105,0.034607330022841144,0.40714505909224874
AOC1,1.2869104989216107,0.04134473750613681,0.459385972290409
PPP1R1B,0.793973409863121,0.05062885481301423,0.5329353138212024
S100A9,1.1507567853553893,0.05408361171382685,0.5408361171382685
LHX1-DT,1.2287231718848286,0.05426555543181926,0.5168148136363738
SCEL,1.2468982791639815,0.05900085980161635,0.5363714527419668
A2M,0.797288339881954,0.06023883152860719,0.5238159263357147
SCGB1D1,0.7520668608542168,0.06503277450200431,0.5419397875167026
PXDN,1.3256346312509506,0.06677779349266627,0.5342223479413302
AGR2,1.256062521540874,0.06728563430357792,0.5175818023352148
SKAP2,1.281504166309083,0.06865185666256511,0.5085322715745564
IGFL2-AS1,1.2139796399376168,0.07241384334225379,0.5172417381589557
LHX1,1.138977521477959,0.07735131237199797,0.5334573267034343
LIX1,1.2135115090050959,0.0789697245166278,0.526464830110852
LYPD2,1.1562058732567797,0.08075138414135029,0.5209766718796793
TUBB2B,1.2067718846484181,0.08935838237453098,0.5584898898408186
GPX3,1.228843402699206,0.09926092428266337,0.6015813592888689
HOXA10,1.192319123980413,0.10240358648593387,0.6023740381525522
SST,0.8887190169653362,0.10622966083871883,0.6070266333641077
RARRES1,1.121249087931008,0.11139699829987346,0.6188722127770747
GTSF1,1.1820598155095132,0.11879472898580505,0.6421336701935408
KIAA1324,0.7987588332112778,0.12469470068635705,0.6562878983492476
XAGE2,1.1835086846240734,0.12487293075433813,0.6403740038684007
THSD4,0.8390296331657008,0.12660652499224048,0.6330326249612024
SULF1,0.8237976566372373,0.13151545287041858,0.6415387944898467
SCGB2A1,0.8200843897643719,0.1325543032809989,0.6312109680047567
CFTR,1.193402962033223,0.13386671888497415,0.6226359017905774
RHOBTB3,1.2070479405147898,0.1416637557525667,0.6439261625116669
HOXA10-AS,1.1502544507878822,0.14836281594421843,0.6593902930854152
HOXD-AS2,0.842797034994275,0.14955358259091509,0.6502329677865873
AL589182.1,0.8476817634969425,0.15037657253830025,0.639900308673618
LMO3,1.1514496826444747,0.15349725961192737,0.6395719150496973
C15orf48,1.1699349235437189,0.15671496095360296,0.6396529018514406
IGF2BP3,1.1678281276209925,0.1591641820903435,0.636656728361374
FXYD1,1.1847913422198297,0.16019446029905798,0.6282135698002274
CRABP1,0.8935858186204603,0.16361084432024242,0.6292724781547785
UPK2,1.1328627244818905,0.16491168989691374,0.6223082637619386
